ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
21548,MATH,9995,007,IND,"3 - 9","J.D. Quigley","TBA","","Independent Research","",Open,1,30,0
11747,MATH,9995,018,IND,"3 - 9","David Sherman","TBA","","Independent Research","",Open,0,30,0
12009,MATH,9995,019,IND,"3 - 9","Sara Maloni","TBA","","Independent Research","",Open,2,30,0
12027,MATH,9995,020,IND,"3 - 9","Slava Krushkal","TBA","","Independent Research","",Open,1,30,0
12067,MATH,9995,021,IND,"3 - 9","Tai Melcher","TBA","","Independent Research","",Open,0,30,0
12489,MATH,9995,022,IND,"3 - 9","Julie Bergner","TBA","","Independent Research","",Open,2,30,0
10259,MATH,9998,001,IND,"1 - 12","Peter Abramenko","TBA","","Non-Topical Research, Preparation for Doctoral Research","",Open,0,10,0
10753,MATH,9998,002,IND,"1 - 12","Christian Gromoll","TBA","","Non-Topical Research, Preparation for Doctoral Research","",Open,0,30,0
13316,MATH,9998,003,IND,"1 - 12","Sara Maloni","TBA","","Non-Topical Research, Preparation for Doctoral Research","",Open,0,30,0
11117,MATH,9998,004,IND,"1 - 12","David Sherman","TBA","","Non-Topical Research, Preparation for Doctoral Research","",Open,0,30,0
11119,MATH,9998,005,IND,"1 - 12","Tai Melcher","TBA","","Non-Topical Research, Preparation for Doctoral Research","",Open,0,30,0
12546,MATH,9998,006,IND,"1 - 12","Benjamin Hayes","TBA","","Non-Topical Research, Preparation for Doctoral Research","",Open,3,30,0
11764,MATH,9999,001,IND,"1 - 12","Jennifer Morse","TBA","","Non-Topical Research","",Open,3,10,0
10642,MATH,9999,002,IND,"1 - 12","Christian Gromoll","TBA","","Non-Topical Research","",Open,0,40,0
11733,MATH,9999,003,IND,"1 - 12","Thomas Koberda","TBA","","Non-Topical Research","",Open,4,10,0
10643,MATH,9999,004,IND,"1 - 12","Nicholas Kuhn","TBA","","Non-Topical Research","",Open,0,40,0
13313,MATH,9999,005,IND,"1 - 12","Peter Christopher Leslie Humphries","TBA","","Non-Topical Research","",Open,2,30,0
10644,MATH,9999,008,IND,"1 - 12","Weiqiang Wang","TBA","","Non-Topical Research","",Open,1,40,0
10810,MATH,9999,009,IND,"1 - 12","Thomas Mark","TBA","","Non-Topical Research","",Open,0,30,0
10811,MATH,9999,010,IND,"1 - 12","Slava Krushkal","TBA","","Non-Topical Research","",Open,0,30,0
10812,MATH,9999,011,IND,"1 - 12","Abdelmalek Abdesselam","TBA","","Non-Topical Research","",Open,0,30,0
10813,MATH,9999,012,IND,"1 - 12","Peter Abramenko","TBA","","Non-Topical Research","",Open,0,30,0
10814,MATH,9999,013,IND,"1 - 12","Andrei Rapinchuk","TBA","","Non-Topical Research","",Open,0,30,0
10824,MATH,9999,015,IND,"1 - 12","David Sherman","TBA","","Non-Topical Research","",Open,0,30,0
10978,MATH,9999,016,IND,"1 - 12","Mikhail Ershov","TBA","","Non-Topical Research","",Open,1,30,0
11061,MATH,9999,017,IND,"1 - 12","Tai Melcher","TBA","","Non-Topical Research","",Open,0,30,0
11112,MATH,9999,019,IND,"1 - 12","Juraj Foldes","TBA","","Non-Topical Research","",Open,1,30,0
11262,MATH,9999,021,IND,"1 - 12","J.D. Quigley","TBA","","Non-Topical Research","",Open,0,30,0
11370,MATH,9999,023,IND,"1 - 12","Aseel Farhat","TBA","","Non-Topical Research","",Open,0,30,0
11534,MATH,9999,024,IND,"1 - 12","Julie Bergner","TBA","","Non-Topical Research","",Open,2,30,0
11554,MATH,9999,025,IND,"1 - 12","Yen Do","TBA","","Non-Topical Research","",Open,0,30,0
12442,MATH,9999,026,IND,"1 - 12","Ken Ono","TBA","","Non-Topical Research","",Open,1,30,0
12522,MATH,9999,027,IND,"1 - 12","Christian Reidys","TBA","","Non-Topical Research","",Open,0,30,0
21524,MATH,9999,028,IND,"1 - 12","Sara Maloni","TBA","","Non-Topical Research","",Open,4,30,0
